Tamanho,Arquivo,Taxa,Tempo médio de acesso
2,bigone.trace,0.5479135,155.20864999999995
2,bzip.trace,0.7578060000000001,134.2194
2,gcc.trace,0.533021,156.6979
2,sixpack.trace,0.4579470000000001,164.2053
2,swim.trace,0.442775,165.72250000000003
4,bigone.trace,0.6923965,140.76035000000005
4,bzip.trace,0.868765,123.1235
4,gcc.trace,0.683836,141.6164
4,sixpack.trace,0.644859,145.51409999999996
4,swim.trace,0.571746,152.8254
8,bigone.trace,0.79675625,130.324375
8,bzip.trace,0.955852,114.4148
8,gcc.trace,0.782758,131.7242
8,sixpack.trace,0.769238,133.0762
8,swim.trace,0.679003,142.09969999999996
16,bigone.trace,0.8761985000000001,122.38015
16,bzip.trace,0.995591,110.4409
16,gcc.trace,0.8498190000000001,125.0181
16,sixpack.trace,0.855318,124.4682
16,swim.trace,0.804638,129.5362
32,bigone.trace,0.92969475,117.030525
32,bzip.trace,0.99736,110.264
32,gcc.trace,0.8932559999999999,120.6744
32,sixpack.trace,0.911346,118.8654
32,swim.trace,0.9166049999999999,118.3395
64,bigone.trace,0.95896525,114.103475
64,bzip.trace,0.9984649999999999,110.1535
64,gcc.trace,0.924737,117.5263
64,sixpack.trace,0.9481729999999999,115.1827
64,swim.trace,0.964614,113.5386
128,bigone.trace,0.9750354999999999,112.49645
128,bzip.trace,0.999058,110.0942
128,gcc.trace,0.948735,115.1265
128,sixpack.trace,0.970925,112.90749999999998
128,swim.trace,0.9816870000000001,111.8313
256,bigone.trace,0.98564825,111.435175
256,bzip.trace,0.999602,110.0398
256,gcc.trace,0.968024,113.1976
256,sixpack.trace,0.984276,111.5724
256,swim.trace,0.990791,110.9209
512,bigone.trace,0.9922635000000001,110.77365
512,bzip.trace,0.999683,110.0317
512,gcc.trace,0.983836,111.6164
512,sixpack.trace,0.991308,110.8692
512,swim.trace,0.994807,110.5193
1024,bigone.trace,0.9956665,110.43335
1024,bzip.trace,0.999683,110.0317
1024,gcc.trace,0.992843,110.7157
1024,sixpack.trace,0.994123,110.5877
1024,swim.trace,0.996543,110.3457
2048,bigone.trace,0.9971110000000001,110.2889
2048,bzip.trace,0.999683,110.0317
2048,gcc.trace,0.996591,110.3409
2048,sixpack.trace,0.995516,110.4484
2048,swim.trace,0.99734,110.266
4096,bigone.trace,0.99770975,110.229025
4096,bzip.trace,0.999683,110.0317
4096,gcc.trace,0.997148,110.2852
4096,sixpack.trace,0.99611,110.389
4096,swim.trace,0.997457,110.25429999999999
